Before inserting remove last two coloumns of each row, first few rows will be 
 (1, 'Adilabad', 'Aurangabad', '2022-06-29', '1A', 2000),
(1, 'Adilabad', 'Aurangabad', '2022-06-29', '2A', 1800),
(1, 'Adilabad', 'Aurangabad', '2022-06-29', '2S', 110),
..
..
..

INSERT INTO `classseats (`train_number`, `start_point`, `destination_point`, `journey_date`, `class_name`, `ticket_fare1`) VALUES
(1, 'Adilabad', 'Aurangabad', '2022-06-29', '1A', 2000, 46, 4),
(1, 'Adilabad', 'Aurangabad', '2022-06-29', '2A', 1800, 100, 0),
(1, 'Adilabad', 'Aurangabad', '2022-06-29', '2S', 110, 300, 0),
(1, 'Adilabad', 'Aurangabad', '2022-06-29', '3A', 1600, 142, 17),
(1, 'Adilabad', 'Aurangabad', '2022-06-29', 'SL', 600, 300, 0),
(1, 'Adilabad', 'Aurangabad', '2022-06-30', '1A', 2000, 50, 0),
(1, 'Adilabad', 'Aurangabad', '2022-06-30', '2A', 1800, 100, 0),
(1, 'Adilabad', 'Aurangabad', '2022-06-30', '2S', 110, 300, 0),
(1, 'Adilabad', 'Aurangabad', '2022-06-30', '3A', 1600, 150, 0),
(1, 'Adilabad', 'Aurangabad', '2022-06-30', 'SL', 600, 300, 0),
(1, 'Adilabad', 'Aurangabad', '2022-07-03', '1A', 1600, 40, 0),
(1, 'Adilabad', 'Aurangabad', '2022-07-03', '2A', 1400, 30, 0),
(1, 'Adilabad', 'Aurangabad', '2022-07-03', '2S', 50, 120, 0),
(1, 'Adilabad', 'Aurangabad', '2022-07-03', '3A', 1200, 40, 0),
(1, 'Adilabad', 'Aurangabad', '2022-07-03', 'SL', 800, 80, 0),
(1, 'Adilabad', 'Aurangabad', '2022-07-04', '1A', 1800, 40, 0),
(1, 'Adilabad', 'Aurangabad', '2022-07-04', '2A', 1600, 40, 0),
(1, 'Adilabad', 'Aurangabad', '2022-07-04', '2S', 50, 120, 0),
(1, 'Adilabad', 'Aurangabad', '2022-07-04', '3A', 1200, 30, 0),
(1, 'Adilabad', 'Aurangabad', '2022-07-04', 'SL', 300, 80, 0),
(1, 'Adilabad', 'Aurangabad', '2022-07-13', '1A', 2000, 50, 0),
(1, 'Adilabad', 'Aurangabad', '2022-07-13', '2A', 1800, 100, 0),
(1, 'Adilabad', 'Aurangabad', '2022-07-13', '2S', 110, 300, 0),
(1, 'Adilabad', 'Aurangabad', '2022-07-13', '3A', 1600, 150, 0),
(1, 'Adilabad', 'Aurangabad', '2022-07-13', 'SL', 600, 300, 0),
(1, 'Adilabad', 'Mumbai', '2022-06-29', '1A', 3000, 56, 4),
(1, 'Adilabad', 'Mumbai', '2022-06-29', '2A', 2700, 120, 0),
(1, 'Adilabad', 'Mumbai', '2022-06-29', '2S', 120, 360, 0),
